KEY,en,notes,sp,fr,de,it,pt-br,zh
FURNITURE_NAME_SET_JUNK_SUSPENDEDSHELF,懸掛廢品架子,,Estante de desechos colgado,Étagère suspendue au rabais,Müllhängeregal,Mensola sospesa di ciarpame,Prateleira de lixo,懸掛廢品架子
FURNITURE_DESC_SET_JUNK_SUSPENDEDSHELF,,,,,,,,
FURNITURE_NAME_SET_JUNK_LAMP,廢品燈,,Lámpara de desechos,Lampe au rabais,Mülllampe,Lampada di ciarpame,Luminária de lixo,廢品燈
FURNITURE_DESC_SET_JUNK_LAMP,,,,,,,,
FURNITURE_NAME_SET_JUNK_DRESSER,廢品衣櫃,,Aparador de desechos,Commode au rabais,Müllkleiderschrank,Comò di ciarpame,Cômoda de lixo,廢品衣櫃
FURNITURE_DESC_SET_JUNK_DRESSER,,,,,,,,
FURNITURE_NAME_SET_JUNK_TOILET,廢品廁所,,Retrete de desechos,Toilettes au rabais,Mülltoilette,WC di ciarpame,Privada de lixo,廢品廁所
FURNITURE_DESC_SET_JUNK_TOILET,,,,,,,,
FURNITURE_NAME_SET_SEWN_DRESSER,縫製衣櫃,,Aparador remendado,Commode cousue,Stoffkleiderschrank,Comò rammendato,Cômoda costurada,縫製衣櫃
FURNITURE_DESC_SET_SEWN_DRESSER,,,,,,,,
FURNITURE_NAME_SET_SEWN_SIDETABLE,縫製邊桌,,Mesilla remendada,Table d'appoint cousue,Stoffbeistelltisch,Tavolino rammendato,Mesa lateral costurada,縫製邊桌
FURNITURE_DESC_SET_SEWN_SIDETABLE,,,,,,,,
FURNITURE_NAME_SET_SEWN_TABLE,縫製桌子,,Mesa remendada,Table cousue,Stofftisch,Tavolo rammendato,Mesa costurada,縫製桌子
FURNITURE_DESC_SET_SEWN_TABLE,,,,,,,,
FURNITURE_NAME_SET_SEWN_COUCH,縫製沙發,,Sofá remendado,Canapé cousu,Stoffsofa,Divano rammendato,Sofá costurado,縫製沙發
FURNITURE_DESC_SET_SEWN_COUCH,,,,,,,,
FURNITURE_NAME_SET_SEWN_CHAIR,縫製椅子,,Silla remendada,Chaise cousue,Stoffstuhl,Sedia rammendata,Cadeira costurada,縫製椅子
FURNITURE_DESC_SET_SEWN_CHAIR,,,,,,,,
FURNITURE_NAME_SET_SEWN_STOOL1,縫製凳子 A,,Taburete remendado A,Tabouret cousu A,Stoffhocker A,Sgabello rammendato A,Banqueta costurada A,縫製凳子 A
FURNITURE_DESC_SET_SEWN_STOOL1,,,,,,,,
FURNITURE_NAME_SET_SEWN_TOILET,縫製馬桶,,Retrete remendado,Toilettes cousues,Stofftoilette,WC rammendato,Privada costurada,縫製馬桶
FURNITURE_DESC_SET_SEWN_TOILET,,,,,,,,
FURNITURE_NAME_SET_SEWN_TV,縫製電視,,Tele remendada,TV cousue,Stofffernseher,TV rammendata,TV costurada,縫製電視
FURNITURE_DESC_SET_SEWN_TV,,,,,,,,
FURNITURE_NAME_SET_SEWN_DOLL,縫製洋娃娃,,Muñeca remendada,Poupée cousue,Stoffpuppe,Bambolotto rammendato,Boneca costurada,縫製洋娃娃
FURNITURE_DESC_SET_SEWN_DOLL,,,,,,,,
FURNITURE_NAME_SET_SEWN_STOOL2,縫製凳子 B,,Taburete remendado B,Tabouret cousu B,Stoffhocker B,Sgabello rammendato B,Banqueta costurada B,縫製凳子 B
FURNITURE_DESC_SET_SEWN_STOOL2,,,,,,,,
FURNITURE_NAME_SET_CAT_SHELF,貓架,,Estante gatuno,Étagère chat,Katzenregal,Scaffale a forma di gatto,Estante de gato,貓架
FURNITURE_DESC_SET_CAT_SHELF,,,,,,,,
FURNITURE_NAME_SET_CAT_COUCH,貓沙發,,Sofá gatuno,Canapé chat,Katzensofa,Divano a forma di gatto,Sofá de gato,貓沙發
FURNITURE_DESC_SET_CAT_COUCH,,,,,,,,
FURNITURE_NAME_SET_CAT_CHAIR,貓椅子,,Silla gatuna,Chaise chat,Katzenstuhl,Sedia a forma di gatto,Cadeira de gato,貓椅子
FURNITURE_DESC_SET_CAT_CHAIR,,,,,,,,
FURNITURE_NAME_SET_CAT_BED,貓窩,,Cama gatuna,Lit chat,Katzenbett,Letto a forma di gatto,Cama de gato,貓窩
FURNITURE_DESC_SET_CAT_BED,,,,,,,,
FURNITURE_NAME_SET_CAT_TABLE,貓桌子 A,,Mesa gatuna A,Table&nbsp;chat A,Katzentisch A,Tavolo a forma di gatto A,Mesa de gato A,貓桌子 A
FURNITURE_DESC_SET_CAT_TABLE,,,,,,,,
FURNITURE_NAME_SET_CAT_TV,貓電視,,Tele gatuna,TV chat,Katzenfernseher,TV a forma di gatto,TV de gato,貓電視
FURNITURE_DESC_SET_CAT_TV,,,,,,,,
FURNITURE_NAME_SET_CAT_BENCH,貓長凳,,Banco gatuno,Banc chat,Katzenbank,Panca a forma di gatto,Banco de gato,貓長凳
FURNITURE_DESC_SET_CAT_BENCH,,,,,,,,
FURNITURE_NAME_SET_CAT_DRESSER,貓衣櫃,,Aparador gatuno,Commode chat,Katzenkleiderschrank,Comò a forma di gatto,Cômoda de gato,貓衣櫃
FURNITURE_DESC_SET_CAT_DRESSER,,,,,,,,
FURNITURE_NAME_SET_CAT_SUSPENDED_SHELF,懸掛貓架,,Estante gatuno colgado,Étagère suspendue chat,Katzenhängeregal,Mensola sospesa a forma di gatto,Prateleira de gato,懸掛貓架
FURNITURE_DESC_SET_CAT_SUSPENDED_SHELF,,,,,,,,
FURNITURE_NAME_SET_CAT_TABLE2,貓桌子 B,,Mesa gatuna B,Table&nbsp;B chat,Katzentisch B,Tavolo a forma di gatto B,Mesa de gato B,貓桌子 B
FURNITURE_DESC_SET_CAT_TABLE2,,,,,,,,
FURNITURE_NAME_SET_WOODEN_SHELF,木架 A,,Estante de madera A,Étagère en bois A,Holzregal A,Scaffale di legno A,Estante de madeira A,木架 A
FURNITURE_DESC_SET_WOODEN_SHELF,,,,,,,,
FURNITURE_NAME_SET_WOODEN_DRESSER,木衣櫃,,Aparador de madera A,Commode en bois,Holzkleiderschrank,Comò di legno,Cômoda de madeira,木衣櫃
FURNITURE_DESC_SET_WOODEN_DRESSER,,,,,,,,
FURNITURE_NAME_SET_WOODEN_CHAIR,木椅子,,Silla de madera,Chaise en bois,Holzstuhl,Sedia di legno,Cadeira de madeira,木椅子
FURNITURE_DESC_SET_WOODEN_CHAIR,,,,,,,,
FURNITURE_NAME_SET_WOODEN_TOILET,木馬桶,,Retrete de madera,Toilettes en bois,Holztoilette,WC di legno,Privada de madeira,木馬桶
FURNITURE_DESC_SET_WOODEN_TOILET,,,,,,,,
FURNITURE_NAME_SET_WOODEN_TABLE,木桌子,,Mesa de madera,Table en bois,Holztisch,Tavolo di legno,Mesa de madeira,木桌子
FURNITURE_DESC_SET_WOODEN_TABLE,,,,,,,,
FURNITURE_NAME_SET_WOODEN_SINK,木製水槽,,Lavabo de madera,Évier en bois,Holzwaschbecken,Lavandino di legno,Pia de madeira,木製水槽
FURNITURE_DESC_SET_WOODEN_SINK,,,,,,,,
FURNITURE_NAME_SET_WOODEN_LAMP,木製燈,,Lámpara de madera,Lampe en bois,Holzlampe,Lampada di legno,Luminária de madeira,木製燈
FURNITURE_DESC_SET_WOODEN_LAMP,,,,,,,,
FURNITURE_NAME_SET_WOODEN_TV,木製電視,,Tele de madera,TV en bois,Holzfernseher,TV di legno,TV de madeira,木製電視
FURNITURE_DESC_SET_WOODEN_TV,,,,,,,,
FURNITURE_NAME_SET_WOODEN_SUSPENDEDSHELF,懸掛木製擱板,,Estante de madera colgado,Étagère suspendue en bois,Holzhängeregal,Mensola sospesa di legno,Prateleira de madeira,懸掛木製擱板
FURNITURE_DESC_SET_WOODEN_SUSPENDEDSHELF,,,,,,,,
FURNITURE_NAME_SET_WOODEN_SHELF2,木製擱板 B,,Estante de madera B,Étagère en bois B,Holzregal B,Mensola di legno B,Estante de madeira B,木製擱板 B
FURNITURE_DESC_SET_WOODEN_SHELF2,,,,,,,,
FURNITURE_NAME_SET_SEWER_SINK,下水道水槽,,Lavabo de alcantarilla,Évier d'égout,Abwasserwaschbecken,Lavandino di fogna,Pia de esgoto,下水道水槽
FURNITURE_DESC_SET_SEWER_SINK,,,,,,,,
FURNITURE_NAME_SET_SEWER_SHELF,下水道擱板,,Estante de alcantarilla,Étagère d'égout,Abwasserregal,Scaffale di fogna,Estante de esgoto,下水道擱板
FURNITURE_DESC_SET_SEWER_SHELF,,,,,,,,
FURNITURE_NAME_SET_SEWER_TABLE,下水道桌子,,Mesa de alcantarilla,Table d'égout,Abwassertisch,Tavolo di fogna,Mesa de esgoto,下水道桌子
FURNITURE_DESC_SET_SEWER_TABLE,,,,,,,,
FURNITURE_NAME_SET_SEWER_DRESSER,下水道梳妝檯,,Aparador de alcantarilla,Commode d'égout,Abwasserkleiderschrank,Comò di fogna,Cômoda de esgoto,下水道梳妝檯
FURNITURE_DESC_SET_SEWER_DRESSER,,,,,,,,
FURNITURE_NAME_SET_SEWER_CHAIR,下水道椅子,,Silla de alcantarilla,Chaise d'égout,Abwasserstuhl,Sedia di fogna,Cadeira de esgoto,下水道椅子
FURNITURE_DESC_SET_SEWER_CHAIR,,,,,,,,
FURNITURE_NAME_SET_SEWER_SUSPENDEDSHELF,懸掛下水道擱板,,Estante de alcantarilla colgado,Étagère suspendue d'égout,Abwasserhängeregal,Mensola sospesa di fogna,Prateleira de esgoto,懸掛下水道擱板
FURNITURE_DESC_SET_SEWER_SUSPENDEDSHELF,,,,,,,,
FURNITURE_NAME_SET_SEWER_TV,下水道電視,,Tele de alcantarilla,TV d'égout,Abwasserfernseher,TV di fogna,TV de esgoto,下水道電視
FURNITURE_DESC_SET_SEWER_TV,,,,,,,,
FURNITURE_NAME_SET_SEWER_SMALL_TABLE,下水道小桌子,,Mesita de alcantarilla,Petite table d'égout,Kleiner Abwassertisch,Tavolino di fogna,Mesa pequena de esgoto,下水道小桌子
FURNITURE_DESC_SET_SEWER_SMALL_TABLE,,,,,,,,
FURNITURE_NAME_SET_SEWER_STOOL,下水道凳子,,Taburete de alcantarilla,Tabouret d'égout,Abwasserhocker,Sgabello di fogna,Banqueta de esgoto,下水道凳子
FURNITURE_DESC_SET_SEWER_STOOL,,,,,,,,
FURNITURE_NAME_SET_SEWER_LAMP,下水道燈,,Lámpara de alcantarilla,Lampe d'égout,Abwasserlampe,Lampada di fogna,Luminária de esgoto,下水道燈
FURNITURE_DESC_SET_SEWER_LAMP,,,,,,,,
FURNITURE_NAME_SET_BONE_SHELF,骨制擱板,,Estante de huesos,Étagère en os,Knochenregal,Mensola d'osso,Estante de osso,骨制擱板
FURNITURE_DESC_SET_BONE_SHELF,,,,,,,,
FURNITURE_NAME_SET_BONE_SINK,骨制水槽,,Lavabo de huesos,Évier en os,Knochenwaschbecken,Lavandino d'osso,Pia de osso,骨制水槽
FURNITURE_DESC_SET_BONE_SINK,,,,,,,,
FURNITURE_NAME_SET_BONE_SIDETABLE,骨制邊桌,,Mesilla de huesos,Table d'appoint en os,Knochenbeistelltisch,Tavolino d'osso,Mesa lateral de osso,骨制邊桌
FURNITURE_DESC_SET_BONE_SIDETABLE,,,,,,,,
FURNITURE_NAME_SET_BONE_TABLE,骨制桌子,,Mesa de huesos,Table en os,Knochentisch,Tavolo d'osso,Mesa de osso,骨制桌子
FURNITURE_DESC_SET_BONE_TABLE,,,,,,,,
FURNITURE_NAME_SET_BONE_COUCH,骨制長沙發,,Sofá de huesos,Canapé en os,Knochensofa,Divano d'osso,Sofá de osso,骨制長沙發
FURNITURE_DESC_SET_BONE_COUCH,,,,,,,,
FURNITURE_NAME_SET_BONE_TV,骨頭電視,,Tele de huesos,TV en os,Knochenfernseher,TV d'osso,TV de osso,骨頭電視
FURNITURE_DESC_SET_BONE_TV,,,,,,,,
FURNITURE_NAME_SET_BONE_CHANDELIER,骨頭吊燈,,Araña de huesos,Chandelier en os,Knochenkronleuchter,Lampadario d'osso,Lustre de osso,骨頭吊燈
FURNITURE_DESC_SET_BONE_CHANDELIER,,,,,,,,
FURNITURE_NAME_SET_BONE_LAMP,骨頭燈,,Lámpara de huesos,Lampe en os,Knochenlampe,Lampada d'osso,Luminária de osso,骨頭燈
FURNITURE_DESC_SET_BONE_LAMP,,,,,,,,
FURNITURE_NAME_SET_BONE_CHAIR,骨頭椅子,,Silla de huesos,Chaise en os,Knochenstuhl,Sedia d'osso,Cadeira de osso,骨頭椅子
FURNITURE_DESC_SET_BONE_CHAIR,,,,,,,,
FURNITURE_NAME_SET_BONE_PILE,骨堆,,Pila de huesos,Pile d'os,Knochenhaufen,Pila d'osso,Pilha de ossos,骨堆
FURNITURE_DESC_SET_BONE_PILE,,,,,,,,
FURNITURE_NAME_SET_ROBO_SHELF,機器人書架,,Estante robótico,Étagère robo,Roboregal,Robo-scaffale,Estante robô,機器人書架
FURNITURE_DESC_SET_ROBO_SHELF,,,,,,,,
FURNITURE_NAME_SET_ROBO_SINK,機器人水槽,,Lavabo robótico,Évier robo,Robowaschbecken,Robo-lavandino,Pia robô,機器人水槽
FURNITURE_DESC_SET_ROBO_SINK,,,,,,,,
FURNITURE_NAME_SET_ROBO_DESK,機器人書桌,,Escritorio robótico,Bureau robo,Roboschreibtisch,Robo-scrivania,Escrivaninha robô,機器人書桌
FURNITURE_DESC_SET_ROBO_DESK,,,,,,,,
FURNITURE_NAME_SET_ROBO_TABLE,機器人桌子,,Mesa robótica,Table robo,Robotisch,Robo-tavolo,Mesa robô,機器人桌子
FURNITURE_DESC_SET_ROBO_TABLE,,,,,,,,
FURNITURE_NAME_SET_ROBO_DRESSER,機器人梳妝檯,,Aparador robótico,Commande robo,Robokleiderschrank,Robo-comò,Cômoda robô,機器人梳妝檯
FURNITURE_DESC_SET_ROBO_DRESSER,,,,,,,,
FURNITURE_NAME_SET_ROBO_TV,機器人電視,,Tele robótica,TV robo,Robofernseher,Robo-TV,TV robô,機器人電視
FURNITURE_DESC_SET_ROBO_TV,,,,,,,,
FURNITURE_NAME_SET_ROBO_ROBOBODY,機器人軀幹,,Cuerpo robótico,Corps robo,Robokörper,Robo-corpo,Corpo de robô,機器人軀幹
FURNITURE_DESC_SET_ROBO_ROBOBODY,,,,,,,,
FURNITURE_NAME_SET_ROBO_ROBOCHEST,機器人箱子,,Pecho robótico,Coffre robo,Robooberkörper,Robo-torace,Torso de robô,機器人箱子
FURNITURE_DESC_SET_ROBO_ROBOCHEST,,,,,,,,
FURNITURE_NAME_SET_ROBO_ROBOARMS,機器人手臂,,Brazos robóticos,Bras robo,Roboarme,Robo-braccia,Braços de robô,機器人手臂
FURNITURE_DESC_SET_ROBO_ROBOARMS,,,,,,,,
FURNITURE_NAME_SET_ROBO_HEAD,機器人頭部,,Cabeza robótica,Tête robo,Robokopf,Robo-testa,Cabeça de robô,機器人頭部
FURNITURE_DESC_SET_ROBO_HEAD,,,,,,,,
FURNITURE_NAME_SET_GUTS_SHELF,內臟書架,,Estante visceral,Étagère entrailles,Eingeweideregal,Mensola di viscere,Estante de tripas,內臟書架
FURNITURE_DESC_SET_GUTS_SHELF,,,,,,,,
FURNITURE_NAME_SET_GUTS_TABLE,內臟桌子,,Mesa visceral,Table entrailles,Eingeweidetisch,Tavolo di viscere,Mesa de tripas,內臟桌子
FURNITURE_DESC_SET_GUTS_TABLE,,,,,,,,
FURNITURE_NAME_SET_GUTS_SIDETABLE,內臟邊桌 A,,Mesilla visceral A,Table d'appoint entrailles A,Eingeweidebeistelltisch A,Tavolino di viscere A,Mesa lateral de tripas A,內臟邊桌 A
FURNITURE_DESC_SET_GUTS_SIDETABLE,,,,,,,,
FURNITURE_NAME_SET_GUTS_SINK,內臟水槽,,Lavabo visceral,Évier entrailles,Eingeweidewaschbecken,Lavandino di viscere,Pia de tripas,內臟水槽
FURNITURE_DESC_SET_GUTS_SINK,,,,,,,,
FURNITURE_NAME_SET_GUTS_SIDETABLE2,內臟邊桌 B,,Mesilla visceral B,Table d'appoint entrailles B,Eingeweidebeistelltisch B,Tavolino di viscere B,Mesa lateral de tripas B,內臟邊桌 B
FURNITURE_DESC_SET_GUTS_SIDETABLE2,,,,,,,,
FURNITURE_NAME_SET_GUTS_TOILET,內臟廁所,,Retrete visceral,Toilettes entrailles,Eingeweidetoilette,WC di viscere,Privada de tripas,內臟廁所
FURNITURE_DESC_SET_GUTS_TOILET,,,,,,,,
FURNITURE_NAME_SET_GUTS_LAMP,內臟燈 A,,Lámpara visceral A,Lampe entrailles A,Eingeweidelampe A,Lampada di viscere A,Luminária de tripas A,內臟燈 A
FURNITURE_DESC_SET_GUTS_LAMP,,,,,,,,
FURNITURE_NAME_SET_GUTS_LAMP2,內臟燈 B,,Lámpara visceral B,Lampe entrailles B,Eingeweidelampe B,Lampada di viscere B,Luminária de tripas B,內臟燈 B
FURNITURE_DESC_SET_GUTS_LAMP2,,,,,,,,
FURNITURE_NAME_SET_GUTS_SUSPENDEDSHELF,懸掛內臟架,,Estante visceral colgado,Étagère suspendue entrailles,Eingeweidehängeregal,Mensola sospesa di viscere,Prateleira de tripas,懸掛內臟架
FURNITURE_DESC_SET_GUTS_SUSPENDEDSHELF,,,,,,,,
FURNITURE_NAME_SET_GUTS_TV,內臟電視,,Tele visceral,TV entrailles,Eingeweidefernseher,TV di viscere,TV de tripas,內臟電視
FURNITURE_DESC_SET_GUTS_TV,,,,,,,,
FURNITURE_NAME_SET_CRYSTAL_TOILET,水晶廁所,,Retrete de cristal,Toilettes cristal,Kristalltoilette,WC di cristallo,Privada de cristal,水晶廁所
FURNITURE_DESC_SET_CRYSTAL_TOILET,,,,,,,,
FURNITURE_NAME_SET_CRYSTAL_DRESSER,水晶梳妝檯 A,,Aparador de cristal A,Commode cristal A,Kristallkleiderschrank A,Comò di cristallo A,Cômoda de cristal A,水晶梳妝檯 A
FURNITURE_DESC_SET_CRYSTAL_DRESSER,,,,,,,,
FURNITURE_NAME_SET_CRYSTAL_LAMP,水晶燈,,Lámpara de cristal,Lampe cristal,Kristalllampe,Lampada di cristallo,Luminária de cristal,水晶燈
FURNITURE_DESC_SET_CRYSTAL_LAMP,,,,,,,,
FURNITURE_NAME_SET_CRYSTAL_TABLE,水晶桌子,,Mesa de cristal,Table cristal,Kristalltisch,Tavolo di cristallo,Mesa de cristal,水晶桌子
FURNITURE_DESC_SET_CRYSTAL_TABLE,,,,,,,,
FURNITURE_NAME_SET_CRYSTAL_CHANDELIER,水晶吊燈,,Araña de cristal,Chandelier cristal,Kristallkronleuchter,Lampadario di cristallo,Lustre de cristal,水晶吊燈
FURNITURE_DESC_SET_CRYSTAL_CHANDELIER,,,,,,,,
FURNITURE_NAME_SET_CRYSTAL_DRESSER2,水晶梳妝檯 B,,Aparador de cristal B,Commode&nbsp;cristal B,Kristallkleiderschrank B,Comò di cristallo B,Cômoda de cristal B,水晶梳妝檯 B
FURNITURE_DESC_SET_CRYSTAL_DRESSER2,,,,,,,,
FURNITURE_NAME_SET_CRYSTAL_SIDETABLE,水晶邊桌,,Mesilla de cristal,Table d'appoint cristal,Kristallbeistelltisch,Tavolino di cristallo,Mesa lateral de cristal,水晶邊桌
FURNITURE_DESC_SET_CRYSTAL_SIDETABLE,,,,,,,,
FURNITURE_NAME_SET_CRYSTAL_COUCH,水晶沙發,,Sofá de cristal,Canapé cristal,Kristallsofa,Divano di cristallo,Sofá de cristal,水晶沙發
FURNITURE_DESC_SET_CRYSTAL_COUCH,,,,,,,,
FURNITURE_NAME_SET_CRYSTAL_CHAIR,水晶椅子,,Silla de cristal,Chaise cristal,Kristallstuhl,Sedia di cristallo,Cadeira de cristal,水晶椅子
FURNITURE_DESC_SET_CRYSTAL_CHAIR,,,,,,,,
FURNITURE_NAME_SET_CRYSTAL_SHELF,水晶架子,,Estante de cristal,Étagère cristal,Kristallregal,Mensola di cristallo,Estante de cristal,水晶架子
FURNITURE_DESC_SET_CRYSTAL_SHELF,,,,,,,,
FURNITURE_NAME_SET_BLOCK_L,“L” 方塊,,Pieza L,Bloc «&nbsp;L&nbsp;»,„L“-Block,"Blocco ""L""","Bloco ""L""",“L” 方塊
FURNITURE_DESC_SET_BLOCK_L,,,,,,,,
